construction_kind,curve_index,curve_label,family_label,a,b,s,t,F_integral,height_F,affine_point_count,projective_lower_bound,n_orbits,pari_height
d4_reciprocal,53,CURBA #53,D4_t=2/9,3,2,9,2/9,9*x^6 + 2*x^4 + 2*x^2 + 9,9,18,20,3,200000
d4_reciprocal,54,CURBA #54,D4_t=-4/3,3,-12,9,-4/3,9*x^6 - 12*x^4 - 12*x^2 + 9,12,18,20,3,200000
d4_reciprocal,55,CURBA #55,D4_t=7/16,4,7,16,7/16,16*x^6 + 7*x^4 + 7*x^2 + 16,16,18,20,3,200000
d4_reciprocal,56,CURBA #56,D4_t=-14/25,5,-14,25,-14/25,25*x^6 - 14*x^4 - 14*x^2 + 25,25,18,20,3,200000
d4_reciprocal,57,CURBA #57,D4_t=28,1,28,1,28,x^6 + 28*x^4 + 28*x^2 + 1,28,18,20,3,200000
d4_reciprocal,58,CURBA #58,D4_t=31/16,4,31,16,31/16,16*x^6 + 31*x^4 + 31*x^2 + 16,31,18,20,3,200000
d4_reciprocal,59,CURBA #59,D4_t=-31/25,5,-31,25,-31/25,25*x^6 - 31*x^4 - 31*x^2 + 25,31,18,20,3,200000
d4_reciprocal,60,CURBA #60,D4_t=34/25,5,34,25,34/25,25*x^6 + 34*x^4 + 34*x^2 + 25,34,18,20,3,200000
d4_reciprocal,61,CURBA #61,D4_t=-1/6,6,-6,36,-1/6,36*x^6 - 6*x^4 - 6*x^2 + 36,36,18,20,3,200000
d4_reciprocal,62,CURBA #62,D4_t=-42/25,5,-42,25,-42/25,25*x^6 - 42*x^4 - 42*x^2 + 25,42,18,20,3,200000
d4_reciprocal,63,CURBA #63,D4_t=-7/6,6,-42,36,-7/6,36*x^6 - 42*x^4 - 42*x^2 + 36,42,18,20,3,200000
d4_reciprocal,64,CURBA #64,D4_t=7/6,6,42,36,7/6,36*x^6 + 42*x^4 + 42*x^2 + 36,42,18,20,3,200000
d4_reciprocal,65,CURBA #65,D4_t=46/25,5,46,25,46/25,25*x^6 + 46*x^4 + 46*x^2 + 25,46,18,20,3,200000
d4_reciprocal,66,CURBA #66,D4_t=-47/16,4,-47,16,-47/16,16*x^6 - 47*x^4 - 47*x^2 + 16,47,18,20,3,200000
d4_reciprocal,67,CURBA #67,D4_t=49/25,5,49,25,49/25,25*x^6 + 49*x^4 + 49*x^2 + 25,49,18,20,3,200000
d4_reciprocal,68,CURBA #68,D4_t=-3/49,7,-3,49,-3/49,49*x^6 - 3*x^4 - 3*x^2 + 49,49,18,20,3,200000
d4_reciprocal,69,CURBA #69,D4_t=62/25,5,62,25,62/25,25*x^6 + 62*x^4 + 62*x^2 + 25,62,18,20,3,200000
d4_reciprocal,70,CURBA #70,D4_t=62/49,7,62,49,62/49,49*x^6 + 62*x^4 + 62*x^2 + 49,62,18,20,3,200000
d4_reciprocal,71,CURBA #71,D4_t=64,1,64,1,64,x^6 + 64*x^4 + 64*x^2 + 1,64,18,20,3,200000
d4_reciprocal,72,CURBA #72,D4_t=-65/16,4,-65,16,-65/16,16*x^6 - 65*x^4 - 65*x^2 + 16,65,18,20,3,200000
d4_reciprocal,73,CURBA #73,D4_t=-67/64,8,-67,64,-67/64,64*x^6 - 67*x^4 - 67*x^2 + 64,67,18,20,3,200000
d4_reciprocal,74,CURBA #74,D4_t=-35/18,6,-70,36,-35/18,36*x^6 - 70*x^4 - 70*x^2 + 36,70,18,20,3,200000
d4_reciprocal,75,CURBA #75,D4_t=73/16,4,73,16,73/16,16*x^6 + 73*x^4 + 73*x^2 + 16,73,18,20,3,200000
d4_reciprocal,76,CURBA #76,D4_t=-16/5,5,-80,25,-16/5,25*x^6 - 80*x^4 - 80*x^2 + 25,80,18,20,3,200000
d4_reciprocal,77,CURBA #77,D4_t=85,1,85,1,85,x^6 + 85*x^4 + 85*x^2 + 1,85,18,20,3,200000
d4_reciprocal,78,CURBA #78,D4_t=-85/81,9,-85,81,-85/81,81*x^6 - 85*x^4 - 85*x^2 + 81,85,18,20,3,200000
d4_reciprocal,79,CURBA #79,D4_t=29/3,3,87,9,29/3,9*x^6 + 87*x^4 + 87*x^2 + 9,87,18,20,3,200000
d4_reciprocal,80,CURBA #80,D4_t=98,1,98,1,98,x^6 + 98*x^4 + 98*x^2 + 1,98,18,20,3,200000
d4_reciprocal,81,CURBA #81,D4_t=49/2,2,98,4,49/2,4*x^6 + 98*x^4 + 98*x^2 + 4,98,18,20,3,200000
d4_reciprocal,82,CURBA #82,D4_t=-49/8,4,-98,16,-49/8,16*x^6 - 98*x^4 - 98*x^2 + 16,98,18,20,3,200000
d4_reciprocal,83,CURBA #83,D4_t=100/9,3,100,9,100/9,9*x^6 + 100*x^4 + 100*x^2 + 9,100,18,20,3,200000
d4_reciprocal,84,CURBA #84,D4_t=47/100,10,47,100,47/100,100*x^6 + 47*x^4 + 47*x^2 + 100,100,18,20,3,200000
d4_reciprocal,85,CURBA #85,D4_t=51/2,2,102,4,51/2,4*x^6 + 102*x^4 + 102*x^2 + 4,102,18,20,3,200000
d4_reciprocal,86,CURBA #86,D4_t=-51/8,4,-102,16,-51/8,16*x^6 - 102*x^4 - 102*x^2 + 16,102,18,20,3,200000
d4_reciprocal,87,CURBA #87,D4_t=-107/81,9,-107,81,-107/81,81*x^6 - 107*x^4 - 107*x^2 + 81,107,18,20,3,200000
d4_reciprocal,88,CURBA #88,D4_t=109/81,9,109,81,109/81,81*x^6 + 109*x^4 + 109*x^2 + 81,109,18,20,3,200000
d4_reciprocal,89,CURBA #89,D4_t=-119/25,5,-119,25,-119/25,25*x^6 - 119*x^4 - 119*x^2 + 25,119,18,20,3,200000
d4_reciprocal,90,CURBA #90,D4_t=-8/121,11,-8,121,-8/121,121*x^6 - 8*x^4 - 8*x^2 + 121,121,18,20,3,200000
d4_reciprocal,91,CURBA #91,D4_t=-63/50,10,-126,100,-63/50,100*x^6 - 126*x^4 - 126*x^2 + 100,126,18,20,3,200000
d4_reciprocal,92,CURBA #92,D4_t=26/5,5,130,25,26/5,25*x^6 + 130*x^4 + 130*x^2 + 25,130,18,20,3,200000
d4_reciprocal,93,CURBA #93,D4_t=67/18,6,134,36,67/18,36*x^6 + 134*x^4 + 134*x^2 + 36,134,18,20,3,200000
d4_reciprocal,94,CURBA #94,D4_t=-134/81,9,-134,81,-134/81,81*x^6 - 134*x^4 - 134*x^2 + 81,134,18,20,3,200000
d4_reciprocal,95,CURBA #95,D4_t=-67/50,10,-134,100,-67/50,100*x^6 - 134*x^4 - 134*x^2 + 100,134,18,20,3,200000
d4_reciprocal,96,CURBA #96,D4_t=-69/50,10,-138,100,-69/50,100*x^6 - 138*x^4 - 138*x^2 + 100,138,18,20,3,200000
d4_reciprocal,97,CURBA #97,D4_t=7/24,12,42,144,7/24,144*x^6 + 42*x^4 + 42*x^2 + 144,144,18,20,3,200000
d4_reciprocal,98,CURBA #98,D4_t=119/144,12,119,144,119/144,144*x^6 + 119*x^4 + 119*x^2 + 144,144,18,20,3,200000
